Year, Month, Day, Hour, Minute, Open, High, Low, Close, Volume
2013,4,11, 01,21, 175.29, 175.29, 173.01, 173.01, 0.6456
2013,4,11, 01,25, 174.01, 174.01, 174.01, 174.01, 0.0655
2013,4,11, 01,26, 174.49, 174.49, 174.49, 174.49, 0.4472
2013,4,11, 01,27, 175.00, 175.02, 175.00, 175.02, 1.4171
2013,4,11, 01,28, 175.49, 175.49, 175.49, 175.49, 2.1634
2013,4,11, 01,29, 175.58, 176.49, 175.00, 175.49, 6.9317
2013,4,11, 01,30, 175.00, 175.00, 175.00, 175.00, 3.4143
2013,4,11, 01,31, 175.00, 175.00, 175.00, 175.00, 31.4001
2013,4,11, 01,32, 174.03, 174.04, 174.02, 174.02, 3.6166
2013,4,11, 01,33, 174.99, 174.99, 174.99, 174.99, 1.4922
2013,4,11, 01,34, 174.99, 174.99, 174.99, 174.99, 2.5113
2013,4,11, 01,35, 174.02, 174.99, 174.02, 174.99, 1.1929
2013,4,11, 01,36, 175.00, 175.00, 175.00, 175.00, 0.1426
2013,4,11, 01,37, 175.00, 175.00, 174.99, 175.00, 24.4260
2013,4,11, 01,38, 174.99, 174.99, 174.02, 174.02, 1.5700
2013,4,11, 01,39, 174.02, 174.02, 174.02, 174.02, 21.8471
2013,4,11, 01,40, 174.00, 174.00, 174.00, 174.00, 2.3365
2013,4,11, 01,41, 174.00, 174.00, 169.99, 169.99, 17.6430
2013,4,11, 01,42, 168.21, 168.21, 168.21, 168.21, 4.2624
2013,4,11, 01,43, 169.99, 169.99, 169.99, 169.99, 14.0248
2013,4,11, 01,44, 169.99, 169.99, 169.99, 169.99, 1.0033
2013,4,11, 01,45, 168.21, 169.99, 168.21, 169.99, 4.5608
2013,4,11, 01,46, 169.98, 170.00, 169.98, 170.00, 3.1632
2013,4,11, 01,47, 169.00, 169.00, 169.00, 169.00, 1.1873
2013,4,11, 01,48, 169.00, 169.50, 164.00, 164.00, 55.5628
2013,4,11, 01,49, 169.00, 169.00, 168.99, 168.99, 4.9999
2013,4,11, 01,50, 164.09, 164.09, 164.00, 164.00, 80.4631
2013,4,11, 01,51, 162.01, 164.00, 162.01, 164.00, 19.2839
2013,4,11, 01,52, 164.00, 164.00, 164.00, 164.00, 3.7371
2013,4,11, 01,53, 169.00, 169.00, 169.00, 169.00, 0.1785
2013,4,11, 01,54, 169.00, 169.00, 169.00, 169.00, 1.5900
2013,4,11, 01,56, 167.00, 167.00, 167.00, 167.00, 0.9446
2013,4,11, 01,57, 167.01, 169.00, 167.01, 169.00, 0.4667
2013,4,11, 01,59, 167.01, 167.01, 167.01, 167.01, 0.0000
2013,4,11, 02,01, 167.01, 167.01, 167.01, 167.01, 1.4000
2013,4,11, 02,02, 167.01, 167.01, 167.01, 167.01, 33.6998
2013,4,11, 02,04, 167.01, 167.01, 167.00, 167.00, 2.1999
2013,4,11, 02,05, 167.00, 167.00, 167.00, 167.00, 0.0989
2013,4,11, 02,06, 166.99, 166.99, 164.50, 164.50, 6.1291
2013,4,11, 02,09, 162.81, 162.81, 162.81, 162.81, 0.1035
2013,4,11, 02,10, 162.03, 162.03, 161.33, 161.33, 13.3496
2013,4,11, 02,11, 161.32, 161.33, 161.00, 161.33, 18.5362
2013,4,11, 02,12, 161.33, 161.33, 161.33, 161.33, 15.2865
2013,4,11, 02,13, 161.33, 161.33, 161.33, 161.33, 20.5082
2013,4,11, 02,14, 161.33, 161.33, 161.00, 161.00, 19.7119
2013,4,11, 02,15, 161.00, 161.00, 161.00, 161.00, 1.2372
2013,4,11, 02,16, 161.00, 161.00, 160.99, 161.00, 6.3371
2013,4,11, 02,17, 161.00, 161.33, 161.00, 161.33, 0.5741
2013,4,11, 02,18, 161.33, 161.33, 161.33, 161.33, 4.9314
2013,4,11, 02,19, 161.34, 161.34, 161.34, 161.34, 2.3507
2013,4,11, 02,21, 162.41, 162.41, 162.41, 162.41, 0.3570
2013,4,11, 02,22, 162.41, 162.41, 162.41, 162.41, 3.2044
2013,4,11, 02,24, 162.41, 162.41, 162.41, 162.41, 38.0869
2013,4,11, 02,25, 162.41, 162.41, 162.41, 162.41, 8.0010
2013,4,11, 02,27, 161.50, 161.50, 161.50, 161.50, 0.1304
2013,4,11, 02,28, 162.00, 162.00, 162.00, 162.00, 2.7332
2013,4,11, 02,29, 162.00, 162.00, 160.30, 160.30, 17.8067
2013,4,11, 02,30, 160.00, 161.51, 157.50, 157.50, 10.0030
2013,4,11, 02,31, 157.01, 157.01, 157.00, 157.00, 0.5803
2013,4,11, 02,32, 156.51, 156.51, 156.20, 156.50, 5.2699
2013,4,11, 02,33, 156.20, 156.20, 156.10, 156.10, 10.7514
2013,4,11, 02,34, 156.20, 158.00, 155.00, 155.00, 42.1403
2013,4,11, 02,35, 155.50, 157.50, 154.13, 154.13, 75.2987
2013,4,11, 02,36, 154.12, 155.00, 154.12, 155.00, 34.6712
2013,4,11, 02,37, 150.00, 155.02, 150.00, 155.02, 1.8097
2013,4,11, 02,38, 155.95, 155.95, 154.14, 154.99, 21.7211
2013,4,11, 02,39, 154.13, 156.00, 153.47, 156.00, 44.1866
2013,4,11, 02,40, 156.00, 156.00, 153.98, 153.98, 10.9175
2013,4,11, 02,41, 155.00, 155.00, 153.98, 153.98, 4.5740
2013,4,11, 02,42, 153.00, 154.00, 153.00, 154.00, 59.0433
2013,4,11, 02,43, 154.00, 154.00, 154.00, 154.00, 6.8630
2013,4,11, 02,44, 154.00, 155.99, 154.00, 155.99, 19.0193
2013,4,11, 02,45, 156.00, 158.00, 156.00, 158.00, 16.4824
2013,4,11, 02,46, 158.00, 158.00, 154.01, 154.01, 43.7370
2013,4,11, 02,47, 157.99, 157.99, 157.99, 157.99, 0.6000
2013,4,11, 02,48, 157.99, 157.99, 157.98, 157.98, 1.4276
2013,4,11, 02,50, 157.99, 157.99, 157.99, 157.99, 51.2995
2013,4,11, 02,51, 157.08, 157.08, 157.08, 157.08, 9.0000
2013,4,11, 02,52, 157.84, 157.84, 157.18, 157.18, 8.6209
2013,4,11, 02,53, 157.84, 157.84, 155.30, 155.30, 12.9048
2013,4,11, 02,54, 155.30, 155.30, 155.30, 155.30, 3.0000
2013,4,11, 02,55, 156.82, 156.82, 156.82, 156.82, 6.1918
2013,4,11, 02,56, 156.82, 156.82, 155.50, 156.82, 19.9999
2013,4,11, 02,57, 155.50, 155.50, 155.50, 155.50, 4.6000
2013,4,11, 02,58, 155.50, 155.50, 155.50, 155.50, 19.2997
2013,4,11, 02,59, 155.50, 155.50, 155.50, 155.50, 0.3000
2013,4,11, 03,00, 157.33, 157.33, 155.51, 155.51, 10.1000
2013,4,11, 03,01, 155.50, 157.33, 155.50, 157.33, 10.3432
2013,4,11, 03,02, 157.33, 157.33, 157.33, 157.33, 0.7948
2013,4,11, 03,03, 158.71, 158.71, 157.33, 157.33, 20.1925
2013,4,11, 03,04, 157.33, 157.33, 156.36, 156.36, 1.1327
2013,4,11, 03,05, 156.35, 157.33, 156.35, 157.33, 6.2861
2013,4,11, 03,06, 157.33, 158.76, 155.00, 158.76, 37.3660
2013,4,11, 03,07, 158.75, 159.51, 158.75, 159.51, 6.7901
2013,4,11, 03,08, 159.50, 161.50, 159.50, 161.50, 14.8048
2013,4,11, 03,09, 161.51, 161.90, 161.51, 161.90, 6.0000
2013,4,11, 03,10, 162.31, 164.70, 162.31, 164.69, 9.6822
2013,4,11, 03,12, 164.70, 165.00, 163.50, 164.83, 20.5099
2013,4,11, 03,13, 165.00, 165.00, 165.00, 165.00, 30.5481
2013,4,11, 03,14, 165.00, 165.00, 164.84, 164.84, 7.5695
2013,4,11, 03,15, 167.00, 167.00, 164.70, 164.70, 12.1347
2013,4,11, 03,16, 164.70, 164.70, 161.51, 161.51, 1.7038
2013,4,11, 03,17, 161.51, 161.51, 161.51, 161.51, 4.9111
2013,4,11, 03,18, 163.00, 163.00, 163.00, 163.00, 1.0505
2013,4,11, 03,20, 163.00, 163.00, 161.52, 161.52, 0.1600
2013,4,11, 03,21, 161.52, 163.00, 161.52, 163.00, 9.2904
2013,4,11, 03,22, 163.00, 163.00, 163.00, 163.00, 4.8144
2013,4,11, 03,23, 161.61, 163.00, 161.61, 163.00, 21.5283
2013,4,11, 03,24, 161.62, 161.62, 161.62, 161.62, 1.0152
2013,4,11, 03,25, 161.52, 161.52, 161.52, 161.52, 23.8114
2013,4,11, 03,26, 161.52, 161.52, 161.52, 161.52, 20.0000
2013,4,11, 03,27, 161.52, 161.52, 161.52, 161.52, 6.1885
2013,4,11, 03,28, 160.88, 162.99, 160.88, 162.99, 15.1708
2013,4,11, 03,29, 162.99, 163.00, 161.52, 161.52, 2.4161
2013,4,11, 03,30, 161.52, 163.00, 161.52, 161.52, 21.9341
2013,4,11, 03,31, 161.00, 161.00, 160.87, 161.00, 6.0701
2013,4,11, 03,32, 160.87, 160.90, 160.51, 160.51, 2.9280
2013,4,11, 03,33, 160.90, 160.90, 160.90, 160.90, 19.0718
2013,4,11, 03,34, 162.75, 162.75, 162.75, 162.75, 10.0000
2013,4,11, 03,36, 164.00, 164.00, 164.00, 164.00, 3.2803
2013,4,11, 03,37, 163.99, 163.99, 163.99, 163.99, 0.0065
2013,4,11, 03,38, 164.83, 165.47, 164.00, 165.46, 10.0658
2013,4,11, 03,39, 165.46, 165.47, 165.46, 165.46, 4.3199
2013,4,11, 03,43, 165.10, 165.10, 165.00, 165.00, 0.8755
2013,4,11, 03,44, 165.00, 165.00, 165.00, 165.00, 7.9244
2013,4,11, 03,45, 165.00, 165.00, 165.00, 165.00, 2.1455
2013,4,11, 03,50, 162.59, 162.59, 162.59, 162.59, 5.3859
2013,4,11, 03,51, 162.57, 162.57, 162.57, 162.57, 6.0000
2013,4,11, 03,52, 161.01, 161.01, 161.01, 161.01, 21.7258
2013,4,11, 03,53, 161.00, 161.00, 161.00, 161.00, 13.1000
2013,4,11, 03,54, 159.51, 159.51, 159.51, 159.51, 0.7876
2013,4,11, 03,57, 162.50, 162.50, 162.50, 162.50, 10.0000
2013,4,11, 03,58, 162.50, 162.50, 162.50, 162.50, 4.0000
